"TOA5","Snow Weather","CR1000","86158","CR1000.Std.31.03","CPU:SnowCollege.CR1","60318","FifteenMin"
"TIMESTAMP","RECORD","AirTF_Avg","RH_Avg","WindGust","AveWindSp","WindDir","WindDir_SD","BP_inHg","SlrkW","HeatedPrecip_Tot","HeatedRunTot","Rain_Tot","RainRunTot"
"TS","RN","Deg F","%","mph","mph","degrees","Deg","inHg","kW/m^2","inch","inch","inch","inch"
"","","Avg","Avg","Max","WVc","WVc","WVc","Smp","Smp","Tot","Smp","Tot","Smp"
"2026-06-17 00:00:00",246966,65.65785,26.03524,5.261,1.613305,41.27209,74.79785,29.98,0,0,0,0,0
"2026-06-17 00:15:00",246967,63.5246,28.24117,5.042,1.692222,61.00632,55.31991,29.98,0,0,0,0,0
"2026-06-17 00:30:00",246968,62.80603,29.62798,8.11,2.504236,187.9553,91.98012,29.98,0,0,0,0,0
"2026-06-17 00:45:00",246969,63.53506,28.02074,8.33,3.221993,45.21278,72.2616,29.98,0,0,0,0,0
"2026-06-17 01:00:00",246970,63.33378,28.61117,5.261,1.82983,239.3751,90.25023,29.97,0,0,0,0,0
"2026-06-17 01:15:00",246971,62.1199,30.21456,10.3,2.654506,68.65523,86.75948,29.97,0,0,0,0,0
"2026-06-17 01:30:00",246972,61.30988,30.15677,9.64,3.358871,136.7319,92.61069,29.97,0,0,0,0,0
"2026-06-17 01:45:00",246973,59.35457,32.57208,6.795,1.526357,58.7655,59.35455,29.97,0,0,0,0,0
"2026-06-17 02:00:00",246974,58.22316,34.75717,4.603,0.9403667,248.9102,66.65294,29.97,0,0,0,0,0
"2026-06-17 02:15:00",246975,56.80324,37.62058,7.891,1.798412,30.30238,63.12003,29.97,0,0,0,0,0
"2026-06-17 02:30:00",246976,56.77807,38.31498,4.603,2.01566,131.5056,33.03595,29.97,0,0,0,0,0
"2026-06-17 02:45:00",246977,57.8247,34.97996,2.85,1.191471,121.7058,8.189628,29.97,0,0,0,0,0
"2026-06-17 03:00:00",246978,57.82814,33.10252,3.726,1.086743,114.9937,7.072774,29.96,0,0,0,0,0
"2026-06-17 03:15:00",246979,57.4994,33.07619,3.069,0.8059238,104.6829,48.24855,29.97,0,0,0,0,0
"2026-06-17 03:30:00",246980,56.2431,36.27037,3.288,0.317109,353.7347,32.14497,29.97,0,0,0,0,0
"2026-06-17 03:45:00",246981,55.08173,38.57624,2.85,0.7542902,102.5122,15.01506,29.97,0,0,0,0,0
"2026-06-17 04:00:00",246982,55.97169,35.09161,2.192,0.6373832,158.9483,19.28545,29.97,0,0,0,0,0
"2026-06-17 04:15:00",246983,56.40786,33.95415,2.192,0.3210057,262.6139,33.17855,29.97,0,0,0,0,0
"2026-06-17 04:30:00",246984,55.02219,38.3517,3.726,0.6748917,42.93995,11.5528,29.97,0,0,0,0,0
"2026-06-17 04:45:00",246985,52.84415,42.00195,3.946,0.6205783,83.11861,17.01006,29.97,0,0,0,0,0
"2026-06-17 05:00:00",246986,52.70293,41.9201,1.534,0.09157693,89.81487,4.228814,29.97,0,0,0,0,0
"2026-06-17 05:15:00",246987,52.6506,42.53814,3.069,0.503429,94.33389,14.92786,29.97,0,0,0,0,0
"2026-06-17 05:30:00",246988,52.84292,41.07379,2.85,0.814692,110.1802,10.53339,29.97,0,0,0,0,0
"2026-06-17 05:45:00",246989,52.59883,40.5209,1.754,0.05699203,127.0545,2.553582,29.97,0.001,0,0,0,0
"2026-06-17 06:00:00",246990,52.5527,41.9981,2.85,0.8207811,141.0775,17.58578,29.98,0.004,0,0,0,0
"2026-06-17 06:15:00",246991,52.45739,41.29808,1.754,0.262796,123.8825,26.59533,29.98,0.008,0,0,0,0
"2026-06-17 06:30:00",246992,51.3437,45.61107,2.192,0.5511647,350.636,36.03955,29.99,0.024,0,0,0,0
"2026-06-17 06:45:00",246993,50.72487,47.43963,3.069,0.7094754,73.83678,30.09924,29.99,0.095,0,0,0,0
